strain	accession	strain_name	date	host	country	virus	subtype	type	sequence_locus
nl63/KM055596/277A_2007/2007	KM055596	277A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055597/374A_2007/2007	KM055597	374A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055598/909A_2008/2008	KM055598	909A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055599/930A_2008/2008	KM055599	930A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055600/940A_2008/2008	KM055600	940A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055601/945A_2008/2008	KM055601	945A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055602/954A_2008/2008	KM055602	954A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055603/971A_2008/2008	KM055603	971A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055604/990A_2008/2008	KM055604	990A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055605/996A_2008/2008	KM055605	996A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055606/997A_2008/2008	KM055606	997A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/DQ846901/BJ8081/NA	DQ846901	BJ8081	NA	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/JX104161/CBJ_037/2008	JX104161	CBJ_037	2008-11-04	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/JX524171/CBJ123/2009	JX524171	CBJ123	2009-01-24	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/MK334046/ChinaGD01/2018	MK334046	ChinaGD01	2018-09-01	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/MK334043/ChinaGD02/2018	MK334043	ChinaGD02	2018-08-15	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/MK334044/ChinaGD03/2018	MK334044	ChinaGD03	2018-07-13	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/MK334047/ChinaGD04/2018	MK334047	ChinaGD04	2018-07-25	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/MK334045/ChinaGD05/2018	MK334045	ChinaGD05	2018-08-14	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG772808/CN0601/14/2014	MG772808	CN0601/14	2014-11-25	Human	South_Korea	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055611/GS05_2009/2009	KM055611	GS05_2009	2009-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT266906/HCoV_NL63/Haiti_1/2015/2015	KT266906	HCoV_NL63/Haiti_1/2015	2015-01-16	Human	Haiti	Human_coronavirus_NL63	nl63	alpha	full
nl63/MN306018/HCoV_NL63/Seattle/USA/SC0179/2018/2018	MN306018	HCoV_NL63/Seattle/USA/SC0179/2018	2018-XX-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/MN306040/HCoV_NL63/Seattle/USA/SC0768/2019/2019	MN306040	HCoV_NL63/Seattle/USA/SC0768/2019	2019-XX-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY983586/HCoV_NL63/Seattle/USA/SC2940/2015/2015	KY983586	HCoV_NL63/Seattle/USA/SC2940/2015	2015-XX-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG428703/Kilifi_HH_0511_01_Jun_2010/2010	MG428703	Kilifi_HH_0511_01_Jun_2010	2010-06-01	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG428701/Kilifi_HH_0512_04_Jun_2010/2010	MG428701	Kilifi_HH_0512_04_Jun_2010	2010-06-04	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG428705/Kilifi_HH_0522_21_May_2010/2010	MG428705	Kilifi_HH_0522_21_May_2010	2010-05-21	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG428700/Kilifi_HH_1602_01_Jun_2010/2010	MG428700	Kilifi_HH_1602_01_Jun_2010	2010-06-01	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG428702/Kilifi_HH_3807_11_May_2010/2010	MG428702	Kilifi_HH_3807_11_May_2010	2010-05-11	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG428706/Kilifi_HH_3808_24_May_2010/2010	MG428706	Kilifi_HH_3808_24_May_2010	2010-05-24	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG428707/Kilifi_HH_5401_20_May_2010/2010	MG428707	Kilifi_HH_5401_20_May_2010	2010-05-20	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG428704/Kilifi_HH_5402_20_May_2010/2010	MG428704	Kilifi_HH_5402_20_May_2010	2010-05-20	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG428699/Kilifi_HH_5709_19_May_2010/2010	MG428699	Kilifi_HH_5709_19_May_2010	2010-05-19	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY554967/N06_1144B/2016	KY554967	N06_1144B	2016-XX-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY554968/N07_185B/2016	KY554968	N07_185B	2016-XX-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY554969/N07_196B/2016	KY554969	N07_196B	2016-XX-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY829118/N07_262B/2015	KY829118	N07_262B	2015-XX-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY554970/N07_324B_182X/2016	KY554970	N07_324B_182X	2016-XX-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY554971/N07_468B_176X/2016	KY554971	N07_468B_176X	2016-XX-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY674916/N07_64B/2016	KY674916	N07_64B	2016-XX-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY674915/N07_6B/2016	KY674915	N07_6B	2016-XX-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ765573/NL63/DEN/2005/1062/2005	JQ765573	NL63/DEN/2005/1062	2005-04-12	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ900260/NL63/DEN/2005/1120/2005	JQ900260	NL63/DEN/2005/1120	2005-04-25	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ765574/NL63/DEN/2005/1862/2005	JQ765574	NL63/DEN/2005/1862	2005-11-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ765575/NL63/DEN/2005/1876/2005	JQ765575	NL63/DEN/2005/1876	2005-11-21	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ765568/NL63/DEN/2005/193/2005	JQ765568	NL63/DEN/2005/193	2005-01-11	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ765569/NL63/DEN/2005/232/2005	JQ765569	NL63/DEN/2005/232	2005-01-18	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ765570/NL63/DEN/2005/235/2005	JQ765570	NL63/DEN/2005/235	2005-01-19	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ765571/NL63/DEN/2005/271/2005	JQ765571	NL63/DEN/2005/271	2005-01-23	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ900258/NL63/DEN/2005/291/2005	JQ900258	NL63/DEN/2005/291	2005-01-26	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ765572/NL63/DEN/2005/347/2005	JQ765572	NL63/DEN/2005/347	2005-02-01	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ900259/NL63/DEN/2005/449/2005	JQ900259	NL63/DEN/2005/449	2005-02-09	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ765566/NL63/DEN/2008/16/2008	JQ765566	NL63/DEN/2008/16	2008-01-08	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ765564/NL63/DEN/2009/14/2009	JQ765564	NL63/DEN/2009/14	2009-03-01	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ765565/NL63/DEN/2009/15/2009	JQ765565	NL63/DEN/2009/15	2009-02-13	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ765567/NL63/DEN/2009/20/2009	JQ765567	NL63/DEN/2009/20	2009-03-12	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ900256/NL63/DEN/2009/22/2009	JQ900256	NL63/DEN/2009/22	2009-03-03	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ900257/NL63/DEN/2009/31/2009	JQ900257	NL63/DEN/2009/31	2009-02-21	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ900255/NL63/DEN/2009/6/2009	JQ900255	NL63/DEN/2009/6	2009-02-25	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JQ765563/NL63/DEN/2009/9/2009	JQ765563	NL63/DEN/2009/9	2009-03-16	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862074/NL63/FRA_EPI/Caen/2004/01/2004	KY862074	NL63/FRA_EPI/Caen/2004/01	2004-10-11	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862073/NL63/FRA_EPI/Caen/2004/02/2004	KY862073	NL63/FRA_EPI/Caen/2004/02	2004-12-18	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862072/NL63/FRA_EPI/Caen/2005/03/2005	KY862072	NL63/FRA_EPI/Caen/2005/03	2005-01-24	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862071/NL63/FRA_EPI/Caen/2005/04/2005	KY862071	NL63/FRA_EPI/Caen/2005/04	2005-02-23	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862070/NL63/FRA_EPI/Caen/2008/05/2008	KY862070	NL63/FRA_EPI/Caen/2008/05	2008-02-15	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862069/NL63/FRA_EPI/Caen/2008/06/2008	KY862069	NL63/FRA_EPI/Caen/2008/06	2008-02-19	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862068/NL63/FRA_EPI/Caen/2009/07/2009	KY862068	NL63/FRA_EPI/Caen/2009/07	2009-01-08	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862067/NL63/FRA_EPI/Caen/2009/08/2009	KY862067	NL63/FRA_EPI/Caen/2009/08	2009-04-24	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862066/NL63/FRA_EPI/Caen/2010/09/2010	KY862066	NL63/FRA_EPI/Caen/2010/09	2010-10-05	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862065/NL63/FRA_EPI/Caen/2010/10/2010	KY862065	NL63/FRA_EPI/Caen/2010/10	2010-12-17	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862064/NL63/FRA_EPI/Caen/2011/11/2011	KY862064	NL63/FRA_EPI/Caen/2011/11	2011-02-21	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862063/NL63/FRA_EPI/Caen/2011/12/2011	KY862063	NL63/FRA_EPI/Caen/2011/12	2011-10-08	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862062/NL63/FRA_EPI/Caen/2012/13/2012	KY862062	NL63/FRA_EPI/Caen/2012/13	2012-02-01	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862061/NL63/FRA_EPI/Caen/2012/14/2012	KY862061	NL63/FRA_EPI/Caen/2012/14	2012-02-17	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862060/NL63/FRA_EPI/Caen/2013/15/2013	KY862060	NL63/FRA_EPI/Caen/2013/15	2013-03-20	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862059/NL63/FRA_EPI/Caen/2013/16/2013	KY862059	NL63/FRA_EPI/Caen/2013/16	2013-02-01	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862058/NL63/FRA_EPI/Caen/2014/17/2014	KY862058	NL63/FRA_EPI/Caen/2014/17	2014-03-16	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862057/NL63/FRA_EPI/Caen/2014/18/2014	KY862057	NL63/FRA_EPI/Caen/2014/18	2014-01-03	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862056/NL63/FRA_EPI/Caen/2015/19/2015	KY862056	NL63/FRA_EPI/Caen/2015/19	2015-01-05	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY862055/NL63/FRA_EPI/Caen/2015/20/2015	KY862055	NL63/FRA_EPI/Caen/2015/20	2015-02-15	Human	France	Human_coronavirus_NL63	nl63	alpha	full
nl63/KX179497/NL63/Haiti_2/2015/2015	KX179497	NL63/Haiti_2/2015	2015-01-21	Human	Haiti	Human_coronavirus_NL63	nl63	alpha	full
nl63/KX179498/NL63/Haiti_3/2015/2015	KX179498	NL63/Haiti_3/2015	2015-01-22	Human	Haiti	Human_coronavirus_NL63	nl63	alpha	full
nl63/KX179499/NL63/Haiti_4/2015/2015	KX179499	NL63/Haiti_4/2015	2015-01-27	Human	Haiti	Human_coronavirus_NL63	nl63	alpha	full
nl63/KF530112/NL63/human/USA/0111_25/2001/2001	KF530112	NL63/human/USA/0111_25/2001	2001-11-21	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KF530105/NL63/human/USA/012_31/2001/2001	KF530105	NL63/human/USA/012_31/2001	2001-02-23	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KF530110/NL63/human/USA/838_9/1983/1983	KF530110	NL63/human/USA/838_9/1983	1983-08-16	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KF530106/NL63/human/USA/8712_17/1987/1987	KF530106	NL63/human/USA/8712_17/1987	1987-12-16	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KF530114/NL63/human/USA/891_4/1989/1989	KF530114	NL63/human/USA/891_4/1989	1989-01-03	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KF530108/NL63/human/USA/891_6/1989/1989	KF530108	NL63/human/USA/891_6/1989	1989-01-05	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KF530111/NL63/human/USA/901_24/1990/1990	KF530111	NL63/human/USA/901_24/1990	1990-01-05	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KF530109/NL63/human/USA/903_28/1990/1990	KF530109	NL63/human/USA/903_28/1990	1990-03-21	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KF530104/NL63/human/USA/904_20/1990/1990	KF530104	NL63/human/USA/904_20/1990	1990-04-26	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KF530113/NL63/human/USA/905_25/1990/1990	KF530113	NL63/human/USA/905_25/1990	1990-05-29	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KF530107/NL63/human/USA/911_56/1991/1991	KF530107	NL63/human/USA/911_56/1991	1991-01-24	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/JX504050/NL63/RPTEC/2004/2004	JX504050	NL63/RPTEC/2004	2004-XX-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT381875/NL63/UF_1/2015/2015	KT381875	NL63/UF_1/2015	2015-XX-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KU521535/NL63/UF_2/2015/2015	KU521535	NL63/UF_2/2015	2015-09-01	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KX179500/NL63/UF_2/2015/2015	KX179500	NL63/UF_2/2015	2015-09-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/MN026166/NL63_KLF_01_2018/2018	MN026166	NL63_KLF_01_2018	2018-01-29	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
